what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1326755232380
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1326755232381
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1326755232381
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1326755232382
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1326755232382
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1326755232384
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1326755232385
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1326755232386
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1326755232387
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1326755232387
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1326755232387
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1326755232387
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1326755232387
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1326755232388
os,sysinfo,,,"win32",1326755232392
arch,sysinfo,,,"x86",1326755232392
ws,sysinfo,,,"win32",1326755232392
locale,sysinfo,,,"en_US",1326755232392
processors,sysinfo,,,"8",1326755232392
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326755232392
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1326755232392
java.specification.name,sysinfo,,,"Java Platform API Specification",1326755232392
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326755232392
java.specification.version,sysinfo,,,"1.6",1326755232392
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326755232392
java.version,sysinfo,,,"1.6.0_29",1326755232392
java.vm.info,sysinfo,,,"mixed mode",1326755232392
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326755232392
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326755232392
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326755232392
java.vm.specification.version,sysinfo,,,"1.0",1326755232392
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326755232392
java.vm.version,sysinfo,,,"20.4-b02",1326755232392
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755793229
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755793387
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755817416
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755826407
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755829093
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755865200
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326755871909
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1326755922048
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1326755922078
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1326755923097
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326755924623
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326755925029
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326755926183
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1326755926208
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1326755926211
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1326755939934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1326755940269
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326756048981
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1326756063905
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326756084263
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326756339801
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326756346787
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1326756588180
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326756700024
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326756700026
